man,ወንድ (wänd),راجل (rāgil),نَمِجِي (namiji),زلمة (zalame),رَجُل (rajul),راجل (rājil),𡗶翁 (đàn ông),lelaki,ꦭꦤꦁ (lanang),ᜎᜎᜃᜒ (lalaki),ಗಂಡಸು (gaṇḍasu),ஆள் (āḷ),మగవాడు (magavāḍu),পুরুষ (puruś),मरद (marad),man,homme,માણસ (māṇas),आदमी (ādmī),مرد (mard),uomo,पुरुष (puruṣ),homem,мужчи́на (mužčína),varón,Mann,آدمی (ādmī),جَݨا (jaṇā),男 (otoko),남자 (namja),ชาย (chai),مْوَانَمُمِي (mwanamume),男人 (nánrén),男人 (noe gnin),男人 (nàahm yán),اركك (erkek),𐲊𐲋𐲣𐲊𐲒 (férfi),gizon,mies,mees,muž,muž
person,ሰው (säw),انسان (insān),مُتُمْ (mutum),إنسان (insān),إِنْسَان (insān),زول (zōl),𠊛 (người),manusia,ꦮꦺꦴꦁ (wong),ᜆᜓ (tao),ಮನುಷ್ಯ (manuṣya),மனிதன் (maṉitaṉ),మనిషి (maniṣi),মানুষ (manuś),मानुस (mānus),person,personne,વ્યક્તિ (vyakti),इंसान (insān),انسان (ensân),persona,माणूस (māṇūs),pessoa,челове́к (čelovék),hombre,Mensch,انسان (insān),انسان (insān),人 (hito),사람 (saram),คน (khon),مْتُ (mtu),人 (rén),人 (gnin),人 (yàhn),كیشی (kişi),𐲈𐲚𐲂𐲈𐲣 (ember),gizaki,ihminen,inimene,člověk,človek
fish,ዓሣ (asa),سمكة (samaka),كِيفِي (kifi),سمكة (samake),سمكة (samakah),حوت (ḥūt),𩵜 (cá),ikan,ꦲꦶꦮꦏ꧀ (iwak),ᜁᜐ᜔ᜇ (isda),ಮೀನು (mīnu),மீன் (mīṉ),చేప (cēpa),মাছ (mach),मछरी (machrī),fish,poisson,માછલી (māchlī),मछली (machlī),ماهی (mâhi),pesce,मासा (māsā),peixe,ры́ба (rýba),pez,Fisch,مچھلی (machlī),مچھی (macchī),魚 (uo),물고기 (mulgogi),ปลา (pla),سَمَكِ (samaki),魚 (yú),魚 (ng),魚 (yú),بالیق (balık),𐲏𐲀𐲘 (hal),arrain,kala,kala,ryba,ryba
bird,ወፍ (wäf),طير (ṭayr),صُنْصُو (tsuntsu),عصفور (ʿaṣfūr),طَائِر (ṭā'ir),طير (ṭēr),𦀇 (chim),burung,ꦩꦠꦸꦏ꧀ (manuk),ᜁᜊᜓᜈ᜔ (ibon),ಹಕ್ಕಿ (hakki),பறவை (paṟavai),పక్షి (pakṣi),পাখি (pakhi),चिड़ईं (chiṛaī̃),bird,oiseau,પંખી (paṅkhī),चिड़िया (ciṛiyā),پرنده (parande),uccello,पक्षी (pakṣī),pássaro,пти́ца (ptíca),pájaro,Vogel,چڑیا (ciṛiyā),پنچھی (pañchī),鳥 (tori),새 (sae),นก (nok),نديقِي (ndege),鳥 (niǎo),鳥 (gniau),雀 (jeuk),قوش (kuş),𐲚𐲀𐲅𐲁𐲣 (madár),txori,lintu,lind,pták,vták
dog,ውሻ (wəšša),كلب (kalb),كَرِي (kare),كلب (kalb),كَلْب (kalb),كلب (kalib),𡥙 (chó),anjing,ꦲꦱꦸ (asu),ᜀᜐᜓ (aso),ನಾಯಿ (nāyi),நாய் (nāy),కుక్క (kukka),কুকুর (kukur),कुकुर (kukur),dog,chien,કુતરો (kutro),कुत्ता (kuttā),سگ (sag),cane,कुत्रा (kutrā),cão,соба́ка (sobáka),perro,Hund,کتا (kuttā),کتا (kuttā),犬 (inu),개 (gae),หมา (ma),مبوا (mbwa),狗 (gǒu),狗 (keu),狗 (gáu),كوپك (köpek),𐲖𐲨𐲦𐲧𐲀 (kutya),txakur,koira,koer,pes,pes
louse,ቅማል (qəmal),قملة ('amla),كْوَرْكْوَا (kwarkwa),قملة ('amle),قملة (qamlah),قملة (gamla),𧔗 (rận),kutu,ꦠꦸꦩ (tuma),ᜃᜓᜆᜓ (kuto),ಹೇನು (hēnu),பேன் (pēṉ),పేను (pēnu),উকুন (ukun),ढील (ḍhīl),louse,pou,જૂ (jū),जूँ (jū̃),شپش (šepeš),pidocchio,ऊ (ū),piolho,вошь (vošʹ),piojo,Laus,جوں (jū̃),جوں (jū̃),虱 (shirami),이 (i),เหา (hao),چَاوَا (chawa),蝨子 (shīzi),蝨子 (seq tsy),蝨 (sāt),بت (bit),𐲦𐲈𐲦𐲫 (tetű),zorri,täi,täi,veš,voš
tree,ዛፍ (zaf),شجرة (shagara),اِيتَچِي (itace),شجرة (shajra),شَجَرَة (shajarah),شجرة (shajarah),𣘃 (cây),pohon,ꦮꦶꦠ꧀ (wit),ᜉᜓᜈᜓ (puno),ಮರ (mara),மரம் (maram),చెట్టు (ceṭṭu),গাছ (gach),गाँछ (gā̃chh),tree,arbre,ઝાડ (jhāḍ),पेड़ (peṛ),درخت (deraxt),albero,झाड (j̈hāḍ),árvore,де́рево (dérevo),árbol,Baum,درخت (darakht),رُکھ (rukh),木 (ki),나무 (namu),ต้นไม้ (tonmai),مْتِ (mti),樹 (shù),樹 (zy),樹 (syuh),آغاج (ağaç),𐲊𐲀 (fa),zuhaitz,puu,puu,strom,strom
seed,ዘር (zär),حباية (ḥabbāya),اِيرِي (iri),بزرة (bizre),بَذْرَة (badhrah),بذرة (bizra),𬬊 (hạt),biji,ꦮꦶꦗꦶ (wiji),ᜊᜓᜆᜓ (buto),ಬೀಜ (bīja),விதை (vitai),విత్తనం (vittanaṁ),বীজ (bij),बीया (bīyā),seed,graine,બીજ (bīj),बीज (bīj),بذر (bazr),seme,बी (bī),semente,се́мя (sémja),semilla,Samen,بیج (bīj),بیج (bīj),種 (tane),씨 (ssi),เม็ด (met),مبيقُ (mbegu),種子 (zhǒngzi),籽 (tsy),種子 (júng jí),تخم (tohum),𐲚𐲀𐲍 (mag),hazi,siemen,seeme,semeno,semeno
leaf,ቅጠል (qəṭäl),ورقة (wara'a),ݢَنْيِي (ganye),ورقة (wara'a),وَرَقَة (waraqah),ورقة (waraga),𦽬 (lá),daun,ꦒꦺꦴꦝꦺꦴꦁ (godhong),ᜇᜑᜓᜈ᜔ (dahon),ಎಲೆ (ele),இலை (ilai),ఆకు (āku),পাতা (pata),पात (pāt),leaf,feuille,પાંદડું (pā̃dḍũ),पत्ता (pattā),برگ (barg),foglia,पान (pān),folha,лист (list),hoja,Blatt,پتا (pattā),پَتّا (pattā),葉 (ha),잎 (ip),ใบไม้ (baimai),جَانِ (jani),葉子 (yèzi),葉子 (yiq tsy),葉 (yihp),ياپراق (yaprak),𐲘𐲈𐲬𐲋𐲘 (levél),hosto,lehti,leht,list,list
root,ሥር (sər),جدر (gidr),سَيْوَا (saiwa),شرش (shirsh),جِذْر (jidhr),جذر (jizr),𣎚 (rễ),akar,ꦲꦺꦴꦪꦺꦴꦢ꧀ (oyod),ᜄᜆ᜔ (ugat),ಬೇರು (bēru),வேர் (vēr),వేరు (vēru),শিকড় (śikoṛ),जड़ (jaṛ),root,racine,મૂળ (mūḷ),जड़ (jaṛ),ریشه (riše),radice,मूळ (mūḷ),raiz,ко́рень (kórenʹ),raíz,Wurzel,جڑ (jaṛ),جڑھ (jaṛh),根 (ne),뿌리 (ppuri),รากไม้ (rakmai),مْزِيزِ (mzizi),根 (gēn),根 (kén),根 (gān),كوك (kök),𐲎𐲟𐲗𐲋𐲣 (gyökér),erro,juuri,juur,kořen,koreň
bark (of tree),ቅርፊት (qərfət),قشرة (ishra),ٻَوْ (ɓawo),قشرة ('ishre),قِشْرَة (qishrah),قشرة (gishrah),𥿺 (vỏ),pepagan,ꦧꦧꦏꦤ꧀ (babakan),ᜊᜎᜆ᜔ (balat),ತೊಗಟೆ (togaṭe),பட்டை (paṭṭai),బెరడు (beraḍu),ছাল (chal),छाल (chāl),bark,écorce,છાલ (chāl),छाल (chāl),پوست (pust),corteccia,साल (sāl),casca,кора́ (korá),corteza,Borke,چھال (chāl),سَکّ (sakk),樹皮 (juhi),껍질 (kkeopjil),เปลือกไม้ (plueakmai),قُومِي (gome),樹皮 (shùpí),樹皮 (zy bi),樹皮 (syuh peìh),قبوق (kabuk),𐲗𐲋𐲣𐲈𐲍 (kéreg),azal,kuori,koor,kůra,kôra
skin,ቆዳ (qoda),جلد (gild),فَتَا (fata),جلد (jild),جِلْد (jild),جلد (jild),皮 (da),kulit,ꦏꦸꦭꦶꦠ꧀ (kulit),ᜊᜎᜆ᜔ (balat),ಚರ್ಮ (carma),தோல் (tōl),తోలు (tōlu),চামড়া (camṛa),चमड़ी (chamṛī),skin,peau,ચામડી (cāmḍī),चमड़ी (camṛī),پوست (pust),pelle,त्वचा (tvacā),pele,ко́жа (kóža),piel,Haut,جلد (jild),چمڑی (camṛī),皮 (kawa),피부 (pibu),หนัง (nang),نقُوزِ (ngozi),皮 (pí),皮 (bi),皮 (peìh),درى (deri),𐲂𐲜𐲣 (bőr),azal,iho,nahk,kůže,koža
flesh,ሥጋ (səga),لحمة (laḥma),نَمَا (nama),لحم (laḥm),لَحْم (laḥm),لحم (laḥm),𦧘 (thịt),daging,ꦢꦒꦶꦁ (daging),ᜎ᜙ᜈ᜔ (laman),ಮಾಂಸ (māṃsa),மாமிசம் (māmicam),మాంసం (māṁsaṁ),মাংস (maṅśo),मांस (māns),flesh,viande,માંસ (mā̃s),माँस (mā̃s),گوشت (gušt),carne,मास (mās),carne,мя́со (mjáso),carne,Fleisch,گوشت (gosht),ماس (mās),肉 (shishi),살 (sal),เนื้อ (nuea),ڽَمَا (nyama),肉 (ròu),肉 (gnioq),肉 (yuhk),ات (et),𐲏𐲩𐲤 (hús),haragi,liha,liha,maso,mäso
blood,ደም (däm),دم (damm),جِنِي (jini),دم (damm),دَم (dam),دم (damm),𧖱 (máu),darah,ꦒꦼꦠꦶꦃ (getih),ᜇᜓᜄᜓ (dugo),ರಕ್ತ (rakta),இரத்தம் (rattam),రక్తము (raktamu),রক্ত (rokto),लोहू (lohū),blood,sang,લોહી (lohī),ख़ून (xūn),خون (xun),sangue,रक्त (rakta),sangue,кровь (krovʹ),sangre,Blut,خون (xūn),لہو (lahū),血 (chi),피 (pi),เลือด (lueat),دَمُ (damu),血 (xiě),血 (shiuq),血 (hyut),قان (kan),𐲬𐲋𐲣 (vér),odol,veri,veri,krev,krv
bone,አጥንት (aṭənt),عضم ('aḍm),قَشِي (ƙashi),عضم (ʿaḍm),عَظْم ('aẓm),عضم (ʿaḍm),𩩩 (xương),tulang,ꦧꦭꦸꦁ (balung),ᜊᜓᜆᜓ (buto),ಎಲುಬು (elubu),எலும்பு (elumpu),ఎముక (emuka),হাড় (haṛ),हड्डी (haḍḍī),bone,os,હાડકું (hāḍkũ),हड्डी (haḍḍī),استخوان (ostoxân),osso,हाड (hāḍ),osso,кость (kostʹ),hueso,Knochen,ہڈی (haḍḍī),ہڈی (haḍḍī),骨 (hone),뼈 (ppyeo),กระดูก (kraduk),مفُپَا (mfupa),骨頭 (gǔtou),骨頭 (kueq deu),骨 (gwāt),كميك (kemik),𐲄𐲝𐲛𐲦 (csont),hezur,luu,kont,kost,kosť
grease/fat,ስብ (səb),دهن (dihn),قِيبَا (ƙiba),دهن (dihin),دُهْن (duhn),دهن (dihn),𦘫 (mỡ),lemak,ꦒꦗꦶꦃ (gajih),ᜆᜊ (taba),ಕೊಬ್ಬು (kobbu),கொழுப்பு (koḻuppu),కొవ్వు (kovvu),চর্বি (corbi),चरबी (charbī),grease,graisse,ચરબી (carbī),चरबी (carbī),چربو (čarbu),grasso,चरबी (carbī),gordura,жир (žir),grasa,Fett,چربی (carbī),چربی (carbī),脂 (abura),기름 (gireum),ไขมัน (khaiman),مَفُتَا (mafuta),脂肪 (zhīfáng),油 (yeu),脂肪 (jī fōng),ياغ (yağ),𐲯𐲒𐲣 (zsír),gantz,rasva,rasv,tuk,tuk
egg,እንቁላል (ənqulal),بيضة (bēḍa),قْوَيْ (ƙwai),بيضة (bēḍa),بَيْضَة (bayḍah),بيضة (bēḍah),𠨡 (trứng),telur,ꦲꦼꦤ꧀ꦝꦺꦴꦒ꧀ (endhog),ᜁᜆ᜔ᜎᜓᜄ᜔ (itlog),ಮೊಟ್ಟೆ (moṭṭe),முட்டை (muṭṭai),గుడ్డు (guḍḍu),ডিম (ḍim),अंडा (aṇḍā),egg,œuf,ઈંડું (ī̃ḍũ),अंडा (aṇḍā),تخم (toxm),uovo,अंडं (aṇḍaṁ),ovo,яйцо́ (jajcó),huevo,Ei,انڈہ (anḍā),آنڈا (āṇḍā),卵 (tamago),알 (al),ไข่ (khai),يَايِ (yai),蛋 (dàn),蛋 (de),蛋 (dáan),يومورطه (yumurta),𐲦𐲝𐲔𐲁𐲤 (tojás),arrautza,muna,muna,vejce,vajce
horn,ቀንድ (qänd),قرن (qarn),قَهُو (ƙaho),قرن ('arn),قَرْن (qarn),قرن (garn),角 (sừng),tanduk,ꦱꦸꦔꦸ (sungu),ᜐᜓᜅᜌ᜔ (sungay),ಕೊಂಬು (kombu),கொம்பு (kompu),కొమ్ము (kommu),শিং (śiṅ),सींघ (sīṅgh),horn,corne,શીંગડું (śī̃gḍũ),सींग (sīṅg),شاخ (šâx),corno,शिंग (śiṅga),chifre,рог (rog),cuerno,Horn,سینگ (sīng),سِنگ (siṅg),角 (tsuno),뿔 (ppul),เขา (khao),پيمبِي (pembe),角 (jiǎo),角 (koq),角 (gok),بوينوز (boynuz),𐲥𐲀𐲣𐲬 (szarv),adar,sarvi,sarv,roh,roh
tail,ጅራት (ğərat),ديل (dīl),وُصِيَا (wutsiya),دنب (danab),ذَنَب (dhanab),ديل (dīl),𡳪 (đuôi),ekor,ꦧꦸꦤ꧀ꦠꦸꦠ꧀ (buntut),ᜊᜓᜈ᜔ᜆᜓᜆ᜔ (buntot),ಬಾಲ (bāla),வால் (vāl),తోక (tōka),লেজ (lej),पूँछ (pū̃chh),tail,queue,પૂંછડી (pū̃chḍī),पूँछ (pū̃ch),دم (dom),coda,शेपूट (śepūṭ),cauda,хвост (xvost),cola,Schwanz,پونچھ (pūnch),پُوچھَل (pūchal),尾 (o),꼬리 (kkori),หาง (hang),مكِيَا (mkia),尾巴 (wěiba),尾巴 (gni pó),尾 (méih),قويروق (kuyruk),𐲊𐲀𐲣𐲝𐲖 (farok),buztan,häntä,saba,ocas,chvost
feather,ላባ (laba),ريشة (rīsha),ݢَشِي (gashi),ريشة (rīshe),رِيشَة (rīshah),ريش (rish),羽 (lông),bulu,ꦮꦸꦭꦸ (wulu),ᜊᜎᜑᜒᜊᜓ (balahibo),ಗರಿ (gari),இறகு (iṟaku),ఈక (īka),পালক (pālok),पर (par),feather,plume,પીંછું (pī̃chũ),पंख (paṅkh),پر (par),penna,पीस (pīs),pena,перо́ (peró),pluma,Feder,پر (par),کھنبھ (khambh),羽 (hane),깃털 (gitteol),ขนนก (khon nok),اُڽُويَا (unyoya),羽毛 (yǔmáo),羽毛 (yu mau),羽毛 (yúh mòuh),توی (tüy),𐲦𐲝𐲘𐲘 (toll),luma,sulka,sulg,pero,pero
hair,ፀጉር (ṣägur),شعر (sha'r),سُومَا (suma),شعر (sha'r),شَعْر (sha'r),شعر (sha'r),髮 (tóc),rambut,ꦫꦩ꧀ꦧꦸꦠ꧀ (rambut),ᜊᜓᜑᜓᜃ᜔ (buhok),ಕೂದಲು (kūdalu),முடி (muṭi),వెంట్రుకలు (veṇṭrukalu),চুল (cul),केस (kes),hair,cheveux,વાળ (vāḷ),बाल (bāl),مو (mu),capello,केस (kes),cabelo,во́лос (vólos),pelo,Haar,بال (bāl),والؕ (vāḷ),髪 (kami),머리카락 (meorikarak),ผม (phom),ڽويلِي (nywele),頭髮 (tóufa),頭髮 (deu faq),頭髮 (tàuh faat),صاچ (saç),𐲏𐲀𐲔 (haj),ile,hius,juuksed,vlasy,vlasy
head,ራስ (ras),راس (rās),كَيْ (kai),راس (rās),رَأْس (ra's),راس (rās),𦠘 (đầu),kepala,ꦱꦶꦫtext (sirah),ᜓᜎᜓ (ulo),ತಲೆ (tale),தலை (talai),తల (tala),মাথা (matha),मूँड़ी (mūṅṛī),head,tête,માથું (māthũ),सिर (sir),سر (sar),testa,डोकं (ḍokaṁ),cabeça,голова́ (golová),cabeza,Kopf,سر (sar),سِر (sir),頭 (atama),머리 (meori),หัว (hua),كِيچوَا (kichwa),頭 (tóu),頭 (deu),頭 (tàuh),باش (baş),𐲊𐲈𐲔 (fej),buru,pää,pea,hlava,hlava
